IPT_1,IPT_2,IPT_3,IPT_4,IPT_5,IPT_6,IPT_7,IPT_8,IPT_9,IPT_10,IPT_11,IPT_12,IPT_13,IPT_14,IPT_15,IPT_16,IPT_17,IPT_18,IPT_19,IPT_20,IPT_21,IPT_22,IPT_23,IPT_24,IPT_25,IPT_26,IPT_27,IPT_28,IPT_29,IPT_30,DIR_1,DIR_2,DIR_3,DIR_4,DIR_5,DIR_6,DIR_7,DIR_8,DIR_9,DIR_10,DIR_11,DIR_12,DIR_13,DIR_14,DIR_15,DIR_16,DIR_17,DIR_18,DIR_19,DIR_20,DIR_21,DIR_22,DIR_23,DIR_24,DIR_25,DIR_26,DIR_27,DIR_28,DIR_29,DIR_30,SIZE_1,SIZE_2,SIZE_3,SIZE_4,SIZE_5,SIZE_6,SIZE_7,SIZE_8,SIZE_9,SIZE_10,SIZE_11,SIZE_12,SIZE_13,SIZE_14,SIZE_15,SIZE_16,SIZE_17,SIZE_18,SIZE_19,SIZE_20,SIZE_21,SIZE_22,SIZE_23,SIZE_24,SIZE_25,SIZE_26,SIZE_27,SIZE_28,SIZE_29,SIZE_30,label
0 ,0 ,39 ,1469 ,2023 ,36 ,1918 ,1013 ,1989 ,1035 ,483 ,1535 ,37 ,548 ,185 ,16 ,2032 ,8 ,1014 ,1242 ,1040 ,321 ,238 ,83 ,1712 ,0 ,40 ,50 ,961 ,1050 ,1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,1 ,-1 ,-1 ,-1 ,1 ,74 ,161 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,74 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,74 ,161 ,39 ,254 ,254 ,235 ,Miner
0 ,55 ,1979 ,1981 ,1011 ,1022 ,2028 ,656 ,116 ,44 ,1123 ,40 ,814 ,1027 ,2666 ,221 ,441 ,2338 ,2133 ,114 ,207 ,943 ,1005 ,427 ,1079 ,124 ,1037 ,14 ,211 ,1896 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,89 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,265 ,68 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,89 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,283 ,Miner
0 ,39 ,1918 ,1072 ,1947 ,1016 ,295 ,40 ,1685 ,94 ,492 ,185 ,71 ,1976 ,66 ,957 ,1298 ,1040 ,263 ,237 ,67 ,1878 ,879 ,1260 ,929 ,1181 ,910 ,139 ,366 ,551 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,254 ,254 ,254 ,254 ,254 ,254 ,156 ,42 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,220 ,Miner
0 ,0 ,43 ,1485 ,2007 ,1001 ,1021 ,942 ,43 ,1047 ,643 ,103 ,54 ,1614 ,402 ,1017 ,2619 ,234 ,496 ,2327 ,2042 ,122 ,749 ,0 ,42 ,440 ,1011 ,417 ,1013 ,179 ,1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,60 ,147 ,39 ,254 ,254 ,254 ,254 ,221 ,39 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,147 ,39 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,18 ,967 ,1017 ,1964 ,694 ,106 ,63 ,1971 ,1000 ,2648 ,256 ,458 ,2329 ,2069 ,90 ,1197 ,1043 ,424 ,1044 ,143 ,500 ,20 ,498 ,74 ,182 ,1891 ,3037 ,1850 ,1138 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,168 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,168 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,21 ,646 ,499 ,21 ,509 ,1969 ,690 ,71 ,76 ,1960 ,1012 ,2688 ,187 ,497 ,2349 ,2045 ,85 ,1244 ,1019 ,377 ,1107 ,107 ,840 ,21 ,168 ,97 ,117 ,1959 ,3014 ,1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,168 ,39 ,254 ,229 ,40 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,168 ,39 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,323 ,1226 ,1803 ,666 ,62 ,67 ,399 ,20 ,1563 ,197 ,20 ,827 ,981 ,19 ,1632 ,195 ,0 ,18 ,22 ,499 ,2298 ,2044 ,133 ,1230 ,1010 ,414 ,1021 ,139 ,1059 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,1 ,-1 ,-1 ,1 ,-1 ,-1 ,1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,79 ,254 ,254 ,254 ,254 ,254 ,254 ,240 ,39 ,254 ,240 ,39 ,254 ,240 ,39 ,254 ,79 ,166 ,254 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68 ,359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,19 ,1471 ,625 ,115 ,77 ,1985 ,992 ,2663 ,244 ,478 ,2320 ,2076 ,81 ,1216 ,992 ,424 ,1067 ,117 ,1056 ,71 ,173 ,1882 ,3060 ,1834 ,1097 ,337 ,2441 ,1097 ,19 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,161 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,161 ,39 ,Miner
0 ,64 ,1815 ,155 ,1022 ,775 ,22 ,1876 ,214 ,481 ,2329 ,2042 ,138 ,962 ,0 ,21 ,207 ,1220 ,248 ,1027 ,109 ,910 ,25 ,111 ,63 ,163 ,1941 ,2998 ,973 ,884 ,-1 ,-1 ,1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,254 ,254 ,60 ,254 ,254 ,221 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,147 ,39 ,254 ,254 ,254 ,254 ,254 ,221 ,39 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,Miner
0 ,64 ,1972 ,1052 ,2656 ,196 ,456 ,2389 ,2010 ,153 ,1199 ,978 ,423 ,1106 ,83 ,1081 ,10 ,183 ,1950 ,2978 ,1848 ,1141 ,352 ,2424 ,2075 ,1 ,58 ,1513 ,1583 ,1601 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,190 ,39 ,254 ,254 ,254 ,Miner
0 ,51 ,1955 ,1015 ,2684 ,233 ,495 ,2328 ,2042 ,124 ,1162 ,1017 ,416 ,1076 ,114 ,1025 ,87 ,173 ,1917 ,2985 ,1893 ,1091 ,388 ,2431 ,2070 ,1593 ,4 ,42 ,1482 ,1628 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,193 ,39 ,254 ,254 ,Miner
0 ,10 ,3 ,229 ,490 ,109 ,1958 ,421 ,1968 ,2050 ,1980 ,797 ,1302 ,1921 ,349 ,88 ,1454 ,56 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,39 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,30 ,3 ,525 ,2006 ,366 ,2023 ,2017 ,2017 ,1021 ,1040 ,1931 ,306 ,135 ,1434 ,116 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,39 ,60 ,508 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,11 ,2 ,136 ,461 ,88 ,2005 ,371 ,2046 ,1991 ,2018 ,877 ,1163 ,1948 ,330 ,136 ,1422 ,84 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,39 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,25 ,3 ,496 ,65 ,2001 ,344 ,2000 ,2037 ,2011 ,1025 ,1027 ,1940 ,355 ,98 ,1403 ,105 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,39 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,107 ,1198 ,1013 ,392 ,1105 ,119 ,1017 ,80 ,168 ,1889 ,3046 ,1832 ,1120 ,328 ,2468 ,2104 ,2 ,19 ,1530 ,1593 ,1602 ,1994 ,1909 ,3213 ,682 ,203 ,202 ,930 ,2981 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,188 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,128 ,1218 ,1017 ,400 ,1043 ,170 ,1026 ,71 ,155 ,1923 ,2985 ,1901 ,1101 ,316 ,2446 ,2102 ,1573 ,4 ,42 ,1550 ,1623 ,1941 ,1941 ,3198 ,723 ,173 ,205 ,922 ,3014 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,193 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,125 ,1215 ,1017 ,391 ,1060 ,140 ,1017 ,84 ,186 ,1915 ,2988 ,1896 ,1095 ,7 ,39 ,278 ,2439 ,2133 ,1540 ,1558 ,1618 ,2010 ,1926 ,3197 ,687 ,217 ,173 ,991 ,2977 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,188 ,39 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,85 ,1241 ,769 ,19 ,185 ,426 ,1105 ,105 ,1030 ,41 ,176 ,1898 ,3074 ,1821 ,1105 ,372 ,2410 ,2094 ,1559 ,1632 ,1591 ,1954 ,1935 ,3225 ,720 ,181 ,203 ,891 ,3014 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,254 ,254 ,254 ,229 ,46 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,Miner
0 ,32 ,2 ,503 ,90 ,1952 ,422 ,1994 ,2010 ,1999 ,1005 ,1034 ,2002 ,293 ,120 ,1424 ,133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 ,39 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,254 ,60 ,254 ,254 ,254 ,254 ,254 ,254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
0 ,57 ,15594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,558 ,395 ,359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Miner
