uint64 BYTES,uint64 BYTES_REV,time TIME_FIRST,time TIME_LAST,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,string LABEL,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
17460,75880,2021-12-14T16:43:06.950553,2021-12-14T16:48:07.048760,303,311,4444,56822,6,24,24,Miner,[1|1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[74|161|39|254|254|254|254|254|254|254|74|254|254|254|254|254|254|254|254|254|254|254|254|254|74|161|39|254|254|235],[2021-12-14T16:43:07.157000|2021-12-14T16:43:07.157000|2021-12-14T16:43:07.196000|2021-12-14T16:43:08.665000|2021-12-14T16:43:10.688000|2021-12-14T16:43:10.724000|2021-12-14T16:43:12.642000|2021-12-14T16:43:13.655000|2021-12-14T16:43:15.644000|2021-12-14T16:43:16.679000|2021-12-14T16:43:17.162000|2021-12-14T16:43:18.697000|2021-12-14T16:43:18.734000|2021-12-14T16:43:19.282000|2021-12-14T16:43:19.467000|2021-12-14T16:43:19.483000|2021-12-14T16:43:21.515000|2021-12-14T16:43:21.523000|2021-12-14T16:43:22.537000|2021-12-14T16:43:23.779000|2021-12-14T16:43:24.819000|2021-12-14T16:43:25.140000|2021-12-14T16:43:25.378000|2021-12-14T16:43:25.461000|2021-12-14T16:43:27.173000|2021-12-14T16:43:27.173000|2021-12-14T16:43:27.213000|2021-12-14T16:43:27.263000|2021-12-14T16:43:28.224000|2021-12-14T16:43:29.274000]
16150,68618,2021-12-14T16:43:09.379310,2021-12-14T16:48:09.837414,246,254,5555,51734,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[89|283|283|283|283|283|283|283|283|283|265|68|283|283|283|283|283|283|283|283|89|283|283|283|283|283|283|283|283|283],[2021-12-14T16:43:10.613000|2021-12-14T16:43:10.668000|2021-12-14T16:43:12.647000|2021-12-14T16:43:14.628000|2021-12-14T16:43:15.639000|2021-12-14T16:43:16.661000|2021-12-14T16:43:18.689000|2021-12-14T16:43:19.345000|2021-12-14T16:43:19.461000|2021-12-14T16:43:19.505000|2021-12-14T16:43:20.628000|2021-12-14T16:43:20.668000|2021-12-14T16:43:21.482000|2021-12-14T16:43:22.509000|2021-12-14T16:43:25.175000|2021-12-14T16:43:25.396000|2021-12-14T16:43:25.837000|2021-12-14T16:43:28.175000|2021-12-14T16:43:30.308000|2021-12-14T16:43:30.422000|2021-12-14T16:43:30.629000|2021-12-14T16:43:31.572000|2021-12-14T16:43:32.577000|2021-12-14T16:43:33.004000|2021-12-14T16:43:34.083000|2021-12-14T16:43:34.207000|2021-12-14T16:43:35.244000|2021-12-14T16:43:35.258000|2021-12-14T16:43:35.469000|2021-12-14T16:43:37.365000]
13500,74302,2021-12-14T16:43:08.751464,2021-12-14T16:48:09.844291,271,267,4444,63613,6,24,24,Miner,[-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[254|254|254|254|254|254|156|42|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|220],[2021-12-14T16:43:10.665000|2021-12-14T16:43:10.704000|2021-12-14T16:43:12.622000|2021-12-14T16:43:13.694000|2021-12-14T16:43:15.641000|2021-12-14T16:43:16.657000|2021-12-14T16:43:16.952000|2021-12-14T16:43:16.992000|2021-12-14T16:43:18.677000|2021-12-14T16:43:18.771000|2021-12-14T16:43:19.263000|2021-12-14T16:43:19.448000|2021-12-14T16:43:19.519000|2021-12-14T16:43:21.495000|2021-12-14T16:43:21.561000|2021-12-14T16:43:22.518000|2021-12-14T16:43:23.816000|2021-12-14T16:43:24.856000|2021-12-14T16:43:25.119000|2021-12-14T16:43:25.356000|2021-12-14T16:43:25.423000|2021-12-14T16:43:27.301000|2021-12-14T16:43:28.180000|2021-12-14T16:43:29.440000|2021-12-14T16:43:30.369000|2021-12-14T16:43:31.550000|2021-12-14T16:43:32.460000|2021-12-14T16:43:32.599000|2021-12-14T16:43:32.965000|2021-12-14T16:43:33.516000]
17255,63523,2021-12-14T16:43:10.737855,2021-12-14T16:48:10.841812,276,281,4444,49420,6,24,24,Miner,[1|1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[60|147|39|254|254|254|254|221|39|254|254|254|254|60|254|254|254|254|254|254|254|254|60|147|39|254|254|254|254|254],[2021-12-14T16:43:11.105000|2021-12-14T16:43:11.105000|2021-12-14T16:43:11.148000|2021-12-14T16:43:12.633000|2021-12-14T16:43:14.640000|2021-12-14T16:43:15.641000|2021-12-14T16:43:16.662000|2021-12-14T16:43:17.604000|2021-12-14T16:43:17.647000|2021-12-14T16:43:18.694000|2021-12-14T16:43:19.337000|2021-12-14T16:43:19.440000|2021-12-14T16:43:19.494000|2021-12-14T16:43:21.108000|2021-12-14T16:43:21.510000|2021-12-14T16:43:22.527000|2021-12-14T16:43:25.146000|2021-12-14T16:43:25.380000|2021-12-14T16:43:25.876000|2021-12-14T16:43:28.203000|2021-12-14T16:43:30.245000|2021-12-14T16:43:30.367000|2021-12-14T16:43:31.116000|2021-12-14T16:43:31.116000|2021-12-14T16:43:31.158000|2021-12-14T16:43:31.598000|2021-12-14T16:43:32.609000|2021-12-14T16:43:33.026000|2021-12-14T16:43:34.039000|2021-12-14T16:43:34.218000]
15228,61827,2021-12-14T16:43:14.676139,2021-12-14T16:48:14.649901,249,230,4444,38899,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[168|39|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|168|39|254|254|254|254|254|254|254],[2021-12-14T16:43:14.681000|2021-12-14T16:43:14.699000|2021-12-14T16:43:15.666000|2021-12-14T16:43:16.683000|2021-12-14T16:43:18.647000|2021-12-14T16:43:19.341000|2021-12-14T16:43:19.447000|2021-12-14T16:43:19.510000|2021-12-14T16:43:21.481000|2021-12-14T16:43:22.481000|2021-12-14T16:43:25.129000|2021-12-14T16:43:25.385000|2021-12-14T16:43:25.843000|2021-12-14T16:43:28.172000|2021-12-14T16:43:30.241000|2021-12-14T16:43:30.331000|2021-12-14T16:43:31.528000|2021-12-14T16:43:32.571000|2021-12-14T16:43:32.995000|2021-12-14T16:43:34.039000|2021-12-14T16:43:34.182000|2021-12-14T16:43:34.682000|2021-12-14T16:43:34.702000|2021-12-14T16:43:35.200000|2021-12-14T16:43:35.274000|2021-12-14T16:43:35.456000|2021-12-14T16:43:37.347000|2021-12-14T16:43:40.384000|2021-12-14T16:43:42.234000|2021-12-14T16:43:43.372000]
15617,61907,2021-12-14T16:43:14.667799,2021-12-14T16:48:14.655033,253,231,4444,57473,6,24,24,Miner,[1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[168|39|254|229|40|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|168|39|254|254|254|254|254],[2021-12-14T16:43:14.990000|2021-12-14T16:43:15.011000|2021-12-14T16:43:15.657000|2021-12-14T16:43:16.156000|2021-12-14T16:43:16.177000|2021-12-14T16:43:16.686000|2021-12-14T16:43:18.655000|2021-12-14T16:43:19.345000|2021-12-14T16:43:19.416000|2021-12-14T16:43:19.492000|2021-12-14T16:43:21.452000|2021-12-14T16:43:22.464000|2021-12-14T16:43:25.152000|2021-12-14T16:43:25.339000|2021-12-14T16:43:25.836000|2021-12-14T16:43:28.185000|2021-12-14T16:43:30.230000|2021-12-14T16:43:30.315000|2021-12-14T16:43:31.559000|2021-12-14T16:43:32.578000|2021-12-14T16:43:32.955000|2021-12-14T16:43:34.062000|2021-12-14T16:43:34.169000|2021-12-14T16:43:35.009000|2021-12-14T16:43:35.030000|2021-12-14T16:43:35.198000|2021-12-14T16:43:35.295000|2021-12-14T16:43:35.412000|2021-12-14T16:43:37.371000|2021-12-14T16:43:40.385000]
16380,63023,2021-12-14T16:43:14.673532,2021-12-14T16:48:14.650120,264,268,4444,55876,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|1|-1|-1|1|-1|-1|1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[79|254|254|254|254|254|254|240|39|254|240|39|254|240|39|254|79|166|254|39|254|254|254|254|254|254|254|254|254|254],[2021-12-14T16:43:15.327000|2021-12-14T16:43:15.650000|2021-12-14T16:43:16.876000|2021-12-14T16:43:18.679000|2021-12-14T16:43:19.345000|2021-12-14T16:43:19.407000|2021-12-14T16:43:19.474000|2021-12-14T16:43:19.873000|2021-12-14T16:43:19.893000|2021-12-14T16:43:21.456000|2021-12-14T16:43:21.653000|2021-12-14T16:43:21.673000|2021-12-14T16:43:22.500000|2021-12-14T16:43:23.481000|2021-12-14T16:43:23.500000|2021-12-14T16:43:25.132000|2021-12-14T16:43:25.327000|2021-12-14T16:43:25.327000|2021-12-14T16:43:25.345000|2021-12-14T16:43:25.367000|2021-12-14T16:43:25.866000|2021-12-14T16:43:28.164000|2021-12-14T16:43:30.208000|2021-12-14T16:43:30.341000|2021-12-14T16:43:31.571000|2021-12-14T16:43:32.581000|2021-12-14T16:43:32.995000|2021-12-14T16:43:34.016000|2021-12-14T16:43:34.155000|2021-12-14T16:43:35.214000]
148,439,2021-12-14T16:47:38.038650,2021-12-14T16:47:38.211020,2,2,14444,57104,6,24,24,Miner,[1|-1],[24|24],[68|359],[2021-12-14T16:47:38.038000|2021-12-14T16:47:38.163000]
10370,60178,2021-12-14T16:43:16.718115,2021-12-14T16:48:16.646768,219,212,4444,52696,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[161|39|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|161|39],[2021-12-14T16:43:17.187000|2021-12-14T16:43:17.206000|2021-12-14T16:43:18.677000|2021-12-14T16:43:19.302000|2021-12-14T16:43:19.417000|2021-12-14T16:43:19.494000|2021-12-14T16:43:21.479000|2021-12-14T16:43:22.471000|2021-12-14T16:43:25.134000|2021-12-14T16:43:25.378000|2021-12-14T16:43:25.856000|2021-12-14T16:43:28.176000|2021-12-14T16:43:30.252000|2021-12-14T16:43:30.333000|2021-12-14T16:43:31.549000|2021-12-14T16:43:32.541000|2021-12-14T16:43:32.965000|2021-12-14T16:43:34.032000|2021-12-14T16:43:34.149000|2021-12-14T16:43:35.205000|2021-12-14T16:43:35.276000|2021-12-14T16:43:35.449000|2021-12-14T16:43:37.331000|2021-12-14T16:43:40.391000|2021-12-14T16:43:42.225000|2021-12-14T16:43:43.322000|2021-12-14T16:43:43.659000|2021-12-14T16:43:46.100000|2021-12-14T16:43:47.197000|2021-12-14T16:43:47.216000]
15329,62515,2021-12-14T16:43:19.372347,2021-12-14T16:48:20.978744,261,268,4444,52029,6,24,24,Miner,[-1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[254|254|60|254|254|221|39|254|254|254|254|254|254|60|147|39|254|254|254|254|254|221|39|254|254|254|254|254|60|254],[2021-12-14T16:43:19.430000|2021-12-14T16:43:19.494000|2021-12-14T16:43:21.309000|2021-12-14T16:43:21.464000|2021-12-14T16:43:22.486000|2021-12-14T16:43:23.261000|2021-12-14T16:43:23.283000|2021-12-14T16:43:25.159000|2021-12-14T16:43:25.373000|2021-12-14T16:43:25.854000|2021-12-14T16:43:28.183000|2021-12-14T16:43:30.225000|2021-12-14T16:43:30.363000|2021-12-14T16:43:31.325000|2021-12-14T16:43:31.325000|2021-12-14T16:43:31.346000|2021-12-14T16:43:31.553000|2021-12-14T16:43:32.773000|2021-12-14T16:43:33.021000|2021-12-14T16:43:34.048000|2021-12-14T16:43:34.157000|2021-12-14T16:43:35.067000|2021-12-14T16:43:35.092000|2021-12-14T16:43:35.203000|2021-12-14T16:43:35.266000|2021-12-14T16:43:35.429000|2021-12-14T16:43:37.370000|2021-12-14T16:43:40.368000|2021-12-14T16:43:41.341000|2021-12-14T16:43:42.225000]
9730,59861,2021-12-14T16:43:19.389641,2021-12-14T16:48:21.008072,208,213,4444,63865,6,24,24,Miner,[-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|190|39|254|254|254],[2021-12-14T16:43:19.439000|2021-12-14T16:43:19.503000|2021-12-14T16:43:21.475000|2021-12-14T16:43:22.527000|2021-12-14T16:43:25.183000|2021-12-14T16:43:25.379000|2021-12-14T16:43:25.835000|2021-12-14T16:43:28.224000|2021-12-14T16:43:30.234000|2021-12-14T16:43:30.387000|2021-12-14T16:43:31.586000|2021-12-14T16:43:32.564000|2021-12-14T16:43:32.987000|2021-12-14T16:43:34.093000|2021-12-14T16:43:34.176000|2021-12-14T16:43:35.257000|2021-12-14T16:43:35.267000|2021-12-14T16:43:35.450000|2021-12-14T16:43:37.400000|2021-12-14T16:43:40.378000|2021-12-14T16:43:42.226000|2021-12-14T16:43:43.367000|2021-12-14T16:43:43.719000|2021-12-14T16:43:46.143000|2021-12-14T16:43:48.218000|2021-12-14T16:43:48.219000|2021-12-14T16:43:48.277000|2021-12-14T16:43:49.790000|2021-12-14T16:43:51.373000|2021-12-14T16:43:52.974000]
10965,60287,2021-12-14T16:43:19.414232,2021-12-14T16:48:21.026610,215,219,4444,55489,6,24,24,Miner,[-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|254|193|39|254|254],[2021-12-14T16:43:19.462000|2021-12-14T16:43:19.513000|2021-12-14T16:43:21.468000|2021-12-14T16:43:22.483000|2021-12-14T16:43:25.167000|2021-12-14T16:43:25.400000|2021-12-14T16:43:25.895000|2021-12-14T16:43:28.223000|2021-12-14T16:43:30.265000|2021-12-14T16:43:30.389000|2021-12-14T16:43:31.551000|2021-12-14T16:43:32.568000|2021-12-14T16:43:32.984000|2021-12-14T16:43:34.060000|2021-12-14T16:43:34.174000|2021-12-14T16:43:35.199000|2021-12-14T16:43:35.286000|2021-12-14T16:43:35.459000|2021-12-14T16:43:37.376000|2021-12-14T16:43:40.361000|2021-12-14T16:43:42.254000|2021-12-14T16:43:43.345000|2021-12-14T16:43:43.733000|2021-12-14T16:43:46.164000|2021-12-14T16:43:48.234000|2021-12-14T16:43:49.827000|2021-12-14T16:43:49.831000|2021-12-14T16:43:49.873000|2021-12-14T16:43:51.355000|2021-12-14T16:43:52.983000]
1036,4363,2021-12-14T16:47:05.459771,2021-12-14T16:47:21.176082,20,19,4444,56065,6,30,26,Miner,[1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[108|39|60|254|254|254|254|254|254|254|254|60|254|254|254|254|254|254],[2021-12-14T16:47:05.462000|2021-12-14T16:47:05.472000|2021-12-14T16:47:05.475000|2021-12-14T16:47:05.704000|2021-12-14T16:47:06.194000|2021-12-14T16:47:06.303000|2021-12-14T16:47:08.261000|2021-12-14T16:47:08.682000|2021-12-14T16:47:10.650000|2021-12-14T16:47:12.700000|2021-12-14T16:47:14.680000|2021-12-14T16:47:15.477000|2021-12-14T16:47:16.779000|2021-12-14T16:47:18.700000|2021-12-14T16:47:19.049000|2021-12-14T16:47:19.137000|2021-12-14T16:47:20.591000|2021-12-14T16:47:20.647000]
